"Adatkezelési cél","Érintettek köre","Kezelt adatkör","Jogalap (GDPR Art. 6)","Jogalap részletei","Adatfeldolgozó / címzett","Tárolás helye","Megőrzési idő","Adatbiztonsági intézkedés"
"Felhasználói fiók létrehozása és karbantartása","FitFlip regisztrált felhasználók","Email cím, jelszó hash, nyelvi beállítás, regisztráció időpontja, Google OAuth azonosító (opcionális)","Art. 6(1)(b)","Szerződés teljesítése – a Szolgáltatás igénybevétele","Supabase Inc. (EU régió)","Supabase Auth + Postgres (EU)","Fiók törléséig + 30 nap","TLS in transit; jelszó: bcrypt hash; RLS; service-role-only admin írás"
"AI képelemzés (scan)","FitFlip regisztrált felhasználók","Feltöltött fotó(k), AI elemzés eredménye (brand, model, becsült érték, defects, retail_price), scan időpontja","Art. 6(1)(b)","Szerződés teljesítése – a Szolgáltatás központi funkciója","Anthropic, PBC (USA) – AI feldolgozás; Supabase Storage (EU) – kép tárolás","Anthropic szerverei (rövid ideig); Supabase Storage (EU)","Fiók törléséig vagy a scan törléséig","TLS in transit; SCC; Supabase Storage RLS user-mappa szinten"
"Napi scan limit kezelése (abuse prevention)","FitFlip ingyenes felhasználók","Felhasználói azonosító, napi scan-szám, reset timestamp","Art. 6(1)(f)","Jogos érdek – szolgáltatás védelme túlhasználat ellen","Supabase Inc. (EU régió)","Supabase Postgres (profiles tábla)","24h aggregált; naponta reset","RLS, csak admin client írhat"
"Prémium előfizetés és fizetés","FitFlip prémium előfizetők","Stripe customer ID, előfizetés státusza, számlázási cím","Art. 6(1)(b)","Szerződés teljesítése – prémium szolgáltatás díja","Stripe Payments Europe Ltd. (IE) + Supabase","Stripe szerverei (EU+US); Supabase Postgres (EU)","8 év (számviteli kötelezettség)","TLS; Stripe PCI-DSS Level 1; kártyaadatot a Szolgáltató NEM tárol"
"14 napos elállási jog lemondásának dokumentálása","FitFlip prémium előfizetők","User ID, hozzájárulás timestamp, jogszabályi hivatkozás","Art. 6(1)(c)","Jogi kötelezettség – 45/2014 (II.26.) Korm. rendelet 29. § (1) m)","Stripe (session metadata)","Stripe szerverei","8 év (számviteli + bizonyítási kötelezettség)","Metadata Stripe session-ben rögzítve, audit-trail"
"Számlázás","FitFlip prémium előfizetők","Név, számlázási cím, vásárolt tételek, összeg, dátum","Art. 6(1)(c)","Jogi kötelezettség – Sztv. 169. § (számviteli bizonylat megőrzés)","Stripe Payments Europe Ltd. (IE)","Stripe szerverei","8 év","Stripe Tax + automatic invoicing"
"Tranzakciós emailek (megerősítés, jelszó-reset, verification link)","FitFlip regisztrált felhasználók","Email cím, küldés időpontja, küldés státusza, sablon-azonosító","Art. 6(1)(b)","Szerződés teljesítése – auth folyamat","Resend Inc. (USA)","Resend log (US, SCC)","Fiók törléséig (Resend logok: ~30 nap)","SPF/DKIM/DMARC; TLS in transit"
"Rendszer-logok, hibakeresés, biztonság","Bármely látogató / felhasználó","IP cím, user agent, kérési időpont, hiba-stack","Art. 6(1)(f)","Jogos érdek – szolgáltatás biztonsága, hibakeresés","Vercel Inc. (USA) – hosting log; Supabase log","Vercel + Supabase logok","30 nap","Hozzáférés-korlátozás; aggregált aláírások; nincs perzisztens user-szintű profilozás"
"Panaszkezelés","Panaszt benyújtó felhasználók","Email kommunikáció, panasz tárgya, megoldás","Art. 6(1)(c)","Jogi kötelezettség – Fgytv. 17/A. § (5 éves megőrzés)","Email szolgáltató (jelenleg Resend) + Adatkezelő manuális iktatás","Email szerver + helyi archív","5 év","Hozzáférés-korlátozás"
"Cookie banner választás eltárolása","Bármely látogató","Választás (only / necessary), localStorage timestamp","Nem személyes adat (anonim böngésző-tároló)","–","Saját (kliens-oldali)","Felhasználó böngészője (localStorage)","Felhasználó böngésző-adattörlésig","Csak kliens-oldali, nem továbbítjuk"
